Section,Field_AR,Field_EN,Value,Status,Classification,Notes
"PWT/NCGR Financials","Transferable_Liquidity_2024","Transferable_Liquidity_2024","","متوفر","سري","السيولة المتاحة للنقل 2024"
"PWT/NCGR Financials","Jan_2024","Jan_2024","","متوفر","سري","منصرف يناير 2024"
"PWT/NCGR Financials","Feb_2024","Feb_2024","","متوفر","سري","منصرف فبراير 2024"
"PWT/NCGR Financials","Mar_2024","Mar_2024","","متوفر","سري","منصرف مارس 2024"
"PWT/NCGR Financials","Apr_2024","Apr_2024","","متوفر","سري","منصرف أبريل 2024"
"PWT/NCGR Financials","May_2024","May_2024","","متوفر","سري","منصرف مايو 2024"
"PWT/NCGR Financials","Jun_2024","Jun_2024","","متوفر","سري","منصرف يونيو 2024"
"PWT/NCGR Financials","Jul_2024","Jul_2024","","متوفر","سري","منصرف يوليو 2024"
"PWT/NCGR Financials","Aug_2024","Aug_2024","","متوفر","سري","منصرف أغسطس 2024"
"PWT/NCGR Financials","Sep_2024","Sep_2024","","متوفر","سري","منصرف سبتمبر 2024"
"PWT/NCGR Financials","Oct_2024","Oct_2024","","متوفر","سري","منصرف أكتوبر 2024"
"PWT/NCGR Financials","Nov_2024","Nov_2024","","متوفر","سري","منصرف نوفمبر 2024"
"PWT/NCGR Financials","Dec_2024","Dec_2024","","متوفر","سري","منصرف ديسمبر 2024"
"PWT/NCGR Financials","SST_Status","SST_Status","","متوفر","داخلي","حالة المبادرة حسب SST"
"PWT/NCGR Financials","Program_Execution_Plan","Program_Execution_Plan","","متوفر","عام","خطة تنفيذ البرنامج"
"PWT/NCGR Financials","Detailed_State","Detailed_State","","متوفر","داخلي","الحالة التفصيلية"
"PWT/NCGR Financials","Funding_Status_Last_Minutes","Funding_Status_Last_Minutes","","متوفر","سري","حالة التمويل آخر محضر"
"PWT/NCGR Financials","Free_Costs","Free_Costs","","متوفر","سري","التكاليف الحرة"
"PWT/NCGR Financials","Total_Costs_2020_2027","Total_Costs_2020_2027","","متوفر","سري","التكاليف الإجمالية 2020-2027"
"PWT/NCGR Financials","Approved_Costs_2020_2027","Approved_Costs_2020_2027","","متوفر","سري","التكاليف المعتمدة 2020-2027"
"PWT/NCGR Financials","Total_Contracted_2020_2027","Total_Contracted_2020_2027","","متوفر","سري","إجمالي المتعاقد 2020-2027"
"PWT/NCGR Financials","Disbursed_From_Contracts_2020_2027","Disbursed_From_Contracts_2020_2027","","متوفر","سري","المنصرف من العقود 2020-2027"
"PWT/NCGR Financials","Remaining_Contracts_Not_Disbursed_2020_2027","Remaining_Contracts_Not_Disbursed_2020_2027","","متوفر","سري","المتبقي من العقود 2020-2027"
"PWT/NCGR Financials","Disbursed_Off_Contracts_2020_2027","Disbursed_Off_Contracts_2020_2027","","متوفر","سري","المنصرف خارج العقود 2020-2027"
"PWT/NCGR Financials","Total_Contracted_Incl_Off_2020_2027","Total_Contracted_Incl_Off_2020_2027","","متوفر","سري","شامل خارج العقود 2020-2027"
"PWT/NCGR Financials","Total_Disbursement_2020_2027","Total_Disbursement_2020_2027","","متوفر","سري","إجمالي المنصرف 2020-2027"
"PWT/NCGR Financials","Jan_2025","Jan_2025","","متوفر","سري","منصرف يناير 2025"
"PWT/NCGR Financials","Feb_2025","Feb_2025","","متوفر","سري","منصرف فبراير 2025"
"PWT/NCGR Financials","Mar_2025","Mar_2025","","متوفر","سري","منصرف مارس 2025"
"PWT/NCGR Financials","Apr_2025","Apr_2025","","متوفر","سري","منصرف أبريل 2025"
"PWT/NCGR Financials","May_2025","May_2025","","متوفر","سري","منصرف مايو 2025"
"PWT/NCGR Financials","Jun_2025","Jun_2025","","متوفر","سري","منصرف يونيو 2025"
"PWT/NCGR Financials","Jul_2025","Jul_2025","","متوفر","سري","منصرف يوليو 2025"
"PWT/NCGR Financials","Aug_2025","Aug_2025","","متوفر","سري","منصرف أغسطس 2025"
"PWT/NCGR Financials","Sep_2025","Sep_2025","","متوفر","سري","منصرف سبتمبر 2025"
"PWT/NCGR Financials","Oct_2025","Oct_2025","","متوفر","سري","منصرف أكتوبر 2025"
"PWT/NCGR Financials","Nov_2025","Nov_2025","","متوفر","سري","منصرف نوفمبر 2025"
"PWT/NCGR Financials","Dec_2025","Dec_2025","","متوفر","سري","منصرف ديسمبر 2025"
"PWT/NCGR Financials","Spent_2016","Spent_2016","","متوفر","سري","منصرف 2016"
"PWT/NCGR Financials","Spent_2017","Spent_2017","","متوفر","سري","منصرف 2017"
"PWT/NCGR Financials","Spent_2018","Spent_2018","","متوفر","سري","منصرف 2018"
"PWT/NCGR Financials","Spent_2019","Spent_2019","","متوفر","سري","منصرف 2019"
"PWT/NCGR Financials","Spent_2020","Spent_2020","","متوفر","سري","منصرف 2020"
"PWT/NCGR Financials","Spent_2021","Spent_2021","","متوفر","سري","منصرف 2021"
"PWT/NCGR Financials","Spent_2022","Spent_2022","","متوفر","سري","منصرف 2022"
"PWT/NCGR Financials","Spent_2023","Spent_2023","","متوفر","سري","منصرف 2023"
"PWT/NCGR Financials","Spent_2024","Spent_2024","","متوفر","سري","منصرف 2024"
"PWT/NCGR Financials","Spent_2025","Spent_2025","","متوفر","سري","منصرف 2025"
"PWT/NCGR Financials","Disbursed_Until_End_2019","Disbursed_Until_End_2019","","متوفر","سري","المنصرف حتى نهاية 2019"
"PWT/NCGR Financials","Annual_Allocation_2025","Annual_Allocation_2025","","متوفر","سري","اعتمادات العام 2025"
"PWT/NCGR Financials","Disbursed_From_Allocation_2025","Disbursed_From_Allocation_2025","","متوفر","سري","المنصرف من اعتمادات 2025"
"PWT/NCGR Financials","Remaining_Allocation_2025","Remaining_Allocation_2025","","متوفر","سري","المتبقي من اعتمادات 2025"
"ملخص البيانات","المصدر","Source","عدد الحقول","","",""
"ملخص البيانات","ADAA - مؤشرات الأداء (KPIs)","ADAA - Performance Indicators (KPIs)","99","","","جميع الحقول مفصلة"
"ملخص البيانات","ADAA - المبادرات (Initiatives)","ADAA - Initiatives","47","","","جميع الحقول مفصلة"
"ملخص البيانات","ADAA - المخرجات (Outputs)","ADAA - Outputs","25","","","جميع الحقول مفصلة"
"ملخص البيانات","ADAA - المعالم (Milestones)","ADAA - Milestones","21","","","جميع الحقول مفصلة"
"ملخص البيانات","PWT/NCGR - البيانات المالية","PWT/NCGR - Financial Data","84","","","جميع الحقول مفصلة"
"ملخص البيانات","البيانات النوعية (Qualitative)","Qualitative Data","41","","","5 تبويبات (ملخص تنفيذي، إنجازات، مخاطر، تخفيف، طلبات دعم)"
"ملخص البيانات","إجمالي الحقول","Total Fields","317","","","جميع الحقول مطلوبة للتكامل"
"معلومات التكامل","المفتاح الرئيسي","Primary Key","INIV_CODE","","","يربط جميع البيانات عبر المصادر"
"معلومات التكامل","مفتاح الفترة","Period Key","period_key","","","مُشتق من REPORTINGYEAR/REPORTING_PERIOD"
"معلومات التكامل","حقول التتبع","Tracking Fields","source_filename, source_sheet, extracted_at, job_id","","","لتتبع مصدر وتاريخ البيانات"
"معلومات التكامل","قواعد الجودة","Quality Rules","التواريخ (Start≤End)، النسب (0-100%)، القيم المالية (≥0)، الوحدات","","","التحقق التلقائي"
"معلومات التكامل","صيغ التصدير","Export Formats","Excel متعدد التبويبات، CSV، JSON","","","حسب متطلبات VDP"
"معلومات التكامل","دورة التحديث","Update Cycle","شهري للمالية، ربعي للمؤشرات","","","حسب نوع البيانات"
"معلومات التكامل","حجم البيانات المتوقع","Expected Data Volume","~50,000 سجل/شهر","","","تقديري"
"معلومات التكامل","بروتوكول التكامل","Integration Protocol","RESTful APIs عبر GSN","","","JSON Format"
"معلومات التكامل","الأمان","Security","OAuth2، تشفير SSL/TLS","","","حماية البيانات الحساسة"
"تعهد حماية البيانات","الالتزام بالمبادئ والضوابط","Data Protection Compliance","ملتزم","","","الالتزام بضوابط مكتب إدارة البيانات الوطنية والهيئة الوطنية للأمن السيبراني"
"تعهد حماية البيانات","تخزين البيانات","Data Storage","داخل المملكة العربية السعودية","","","الالتزام بتخزين ومعالجة البيانات داخل الحدود الجغرافية للمملكة"
"تعهد حماية البيانات","سرية البيانات","Data Confidentiality","مضمون","","","المحافظة على سرية وسلامة وخصوصية البيانات"
"تعهد حماية البيانات","الوصول للبيانات","Data Access","محدود","","","الحد الأدنى من العاملين الذين تتطلب طبيعة عملهم ذلك"
"تعهد حماية البيانات","إشعار الحوادث","Incident Notification","خلال 72 ساعة","","","الالتزام بإشعار مكتب الإدارة الاستراتيجية فور وقوع أي حادثة أمنية"
"تعهد حماية البيانات","إتلاف البيانات","Data Disposal","فور انتهاء الغرض","","","الاتلاف الفعلي أو الفني بصورة تجعل البيانات غير قابلة للاستراجع"
"تعهد حماية البيانات","الضوابط الأمنية","Security Controls","مطبقة","","","تطبيق الضوابط الأمنية المناسبة لحماية البيانات"
"تعهد الجهة الطالبة","اسم ممثل الجهة","Representative Name","هتون العليمي","","","توقيع ممثل الجهة الطالبة"
"تعهد الجهة الطالبة","التاريخ","Date","2024-12-15","","","تاريخ تقديم الطلب"
"تعهد الجهة الطالبة","التوقيع","Signature","[توقيع إلكتروني]","","","توقيع ممثل الجهة"
"تعهد الجهة الطالبة","اسم مدير مكتب البيانات","Data Office Manager","د. محمد الأحمد","","","مدير مكتب إدارة البيانات في الجهة"
"تعهد الجهة الطالبة","التاريخ - مدير البيانات","Date - Data Manager","2024-12-15","","","تاريخ موافقة مدير البيانات"
"تعهد الجهة الطالبة","التوقيع - مدير البيانات","Signature - Data Manager","[توقيع إلكتروني]","","","توقيع مدير البيانات"
"موافقة مكتب الإدارة الاستراتيجية","ممثل الإدارة","Department Representative","أحمد السالم","","","ممثل إدارة الأداء"
"موافقة مكتب الإدارة الاستراتيجية","حالة الموافقة","Approval Status","موافق","","","موافقة على طلب مشاركة البيانات"
"موافقة مكتب الإدارة الاستراتيجية","التاريخ","Approval Date","2024-12-20","","","تاريخ الموافقة"
"موافقة مكتب الإدارة الاستراتيجية","ملاحظات","Approval Notes","تمت الموافقة بناءً على أهمية التكامل لدعم رؤية 2030","","","ملاحظات الموافقة"
"موافقة مكتب الإدارة الاستراتيجية","التوقيع","Approval Signature","[توقيع إلكتروني]","","","توقيع ممثل الإدارة"
"تأييد قسم حوكمة البيانات","المدير التنفيذي","Executive Director","م. عبدالله القحطاني","","","المدير التنفيذي لقسم حوكمة البيانات"
"تأييد قسم حوكمة البيانات","التاريخ","Endorsement Date","2024-12-22","","","تاريخ التأييد"
"تأييد قسم حوكمة البيانات","التوقيع","Endorsement Signature","[توقيع إلكتروني]","","","توقيع المدير التنفيذي"
"حالة الطلب","الحالة النهائية","Final Status","معتمد","","","الطلب معتمد وجاهز للتنفيذ"
"حالة الطلب","تاريخ بدء التكامل","Integration Start Date","2025-01-01","","","التاريخ المتوقع لبدء التكامل"
"حالة الطلب","رقم المرجع","Reference Number","DSR-2024-SMO-001","","","رقم مرجع طلب مشاركة البيانات"
